jd,fnu_microJy,fnu_microJy_unc,passband,programid,fcqfid,N_baseline,pre_or_post,zpdiff,C,sys_unc_factor,poor_conditions
2458204.9888079,-3.227240098181429,3.749955718656966,ZTF_g,1,4341201,74,-1,26.3007,0,1,0
2458205.0299769,1.2814284456549085,5.494447370948006,ZTF_g,1,4341201,74,-1,26.3153,0,1,0
2458207.9853009,9.540181997524437,7.438853270660859,ZTF_g,1,4341201,74,-1,26.2972,0,1,0
2458208.0279977,-0.6329466591678632,7.902236516717423,ZTF_g,1,4341201,74,-1,26.3239,0,1,0
2458211.0080208,3.729779547751238,9.353854000168532,ZTF_g,1,4341201,74,-1,26.3039,0,1,0
2458211.0239583,-7.886892908795777,11.519307986830999,ZTF_g,1,4341201,74,-1,26.2923,0,1,0
2458217.0083796,8.807292788675474,7.338852302475578,ZTF_r,1,4341202,349,-1,26.2727,1,1,0
2458230.9586111,-8.103120323320676,7.777812895799026,ZTF_r,1,4341202,349,-1,25.7275,1,1,1
2458236.8988773,5.358540982377531,11.35487319219861,ZTF_g,1,4341201,74,-1,26.2204,0,1,0
2458236.9591782,-7.546826133627778,10.666817075808943,ZTF_g,1,4341201,74,-1,26.2451,0,1,0
2458246.9185301,-3.142198668106036,5.635791490788777,ZTF_r,1,4341202,349,-1,26.3217,1,1,0
2458246.9789931,2.927912583171101,3.7536312302250776,ZTF_g,1,4341201,74,-1,26.2758,0,1,0
2458249.8963542,0.775509396604565,4.058508795128626,ZTF_g,1,4341201,74,-1,26.241,0,1,0
2458249.8990972,-2.435586273655932,5.765081748674225,ZTF_r,1,4341202,349,-1,26.322,1,1,1
2458256.9584838,-3.4334328132757608,3.0531928275322113,ZTF_r,1,4341202,349,-1,26.3175,1,1,0
2458259.9165046,2.4620672109459156,3.7357581786792124,ZTF_g,1,4341201,74,-1,26.063,0,1,0
2458259.9574884,4.425558099992578,3.1801196194066095,ZTF_r,1,4341202,349,-1,26.2475,1,1,0
2458262.8762731,-0.864000484208404,4.6667224383766985,ZTF_r,1,4341202,349,-1,26.279,1,1,0
2458262.9031019,-8.537744376697898,4.725468517278551,ZTF_g,1,4341201,74,-1,26.2693,0,1,0
2458270.8764005,-11.233493548867914,10.901433426620668,ZTF_r,1,4341202,349,-1,26.2831,1,1,0
2458270.9446296,-0.32256436443128544,15.054374404816286,ZTF_g,1,4341201,74,-1,26.1919,0,1,0
2458273.8918981,1.6439737420630884,4.084441208303588,ZTF_r,1,4341202,349,-1,26.3297,1,1,0
2458273.9471875,-0.7267717905974822,4.787351121143539,ZTF_g,1,4341201,74,-1,26.2521,0,1,0
2458276.8778125,-4.068638525033071,2.6624206320042725,ZTF_g,1,4341201,74,-1,26.2971,0,1,0
2458276.9364699,0.6205808813051835,3.3336329604727033,ZTF_r,1,4341202,349,-1,26.3098,1,1,0
2458279.8587269,3.1778701002444607,3.244071332294005,ZTF_g,1,4341201,74,-1,26.282,0,1,0
2458279.8801968,0.6225671150164843,4.475229764613357,ZTF_r,1,4341202,349,-1,26.197,1,1,0
2458282.8588773,2.7817355705667857,2.6585219210973374,ZTF_g,1,4341201,74,-1,26.1363,0,1,0
2458285.8332523,-1.5219614821908996,2.3742544305490356,ZTF_r,1,4341202,349,-1,26.3433,1,1,0
2458288.7939005,3.459764363921057,2.5681379208475756,ZTF_r,1,4341202,349,-1,26.3347,1,1,0
2458288.8741782,-4.157514277167474,2.8970067312930237,ZTF_g,1,4341201,74,-1,26.3062,0,1,0
2458291.7936574,-5.978282221182237,3.3760653721675227,ZTF_r,1,4341202,349,-1,26.3243,1,1,0
2458291.852963,-10.533296900251779,3.761759051895444,ZTF_g,1,4341201,74,-1,26.2967,0,1,0
2458295.8128704,10.7818415846839,7.632496270618886,ZTF_r,1,4341202,349,-1,26.3064,1,1,0
2458295.8624421,-16.17946331885366,10.899653129593048,ZTF_g,1,4341201,74,-1,26.2541,0,1,0
2458298.7490625,-16.144363979090826,10.16754928271823,ZTF_g,1,4341201,74,-1,26.2813,0,1,0
2458298.815706,1.8078246301938772,10.399234433427646,ZTF_r,1,4341202,349,-1,26.2699,1,1,0
2458301.7942014,4.141764609411717,4.855900291655433,ZTF_g,1,4341201,74,-1,26.2713,0,1,0
2458304.7942361,-0.6485019949297148,2.5937763591742624,ZTF_g,1,4341201,74,-1,26.274,0,1,0
2458304.8154282,6.044455350214989,2.9366603648821434,ZTF_r,1,4341202,349,-1,26.2891,1,1,0
2458307.6904282,-6.523642777934352,2.880400611974066,ZTF_r,1,4341202,349,-1,26.1901,1,1,0
2458307.8153935,-0.16728579796621174,2.7048973455479572,ZTF_g,1,4341201,74,-1,26.0856,0,1,0
2458312.7299537,0.7890835731739033,3.053626624093502,ZTF_r,1,4341202,349,-1,26.1848,1,1,0
2458312.8356713,4.928458314257353,2.6944320868782516,ZTF_g,1,4341201,74,-1,26.1193,0,1,0
2458320.6881597,-3.6509916460198455,5.674759833591024,ZTF_g,1,4341201,74,-1,26.2967,0,1,0
2458320.7529861,-7.326405118412496,4.759643638048898,ZTF_r,1,4341202,349,-1,26.282,1,1,0
2458337.6875579,2.599584057220305,2.6456131475092017,ZTF_g,1,4341201,74,-1,26.2736,0,1,0
2458337.7079977,-2.011329633174749,2.5360772051993803,ZTF_r,1,4341202,349,-1,26.3181,1,1,0
2458344.6559259,-1.1024717379007585,3.92755140445863,ZTF_g,1,4341201,74,-1,26.1861,0,1,0
2458347.6918171,-0.561545691909255,4.154826317303816,ZTF_g,1,4341201,74,-1,26.2147,0,1,0
2458350.7513657,10.050744353412902,7.047136785447075,ZTF_g,1,4341201,74,-1,26.2133,0,1,0
2458356.7508333,6.571586957711383,6.538617692869394,ZTF_r,1,4341202,349,-1,26.3175,1,1,0
2458362.6469213,0.9350200973187691,2.602863922447585,ZTF_r,1,4341202,349,-1,26.3462,1,1,0
2458362.7101736,-4.333101659273499,3.829707498378998,ZTF_g,1,4341201,74,-1,26.2718,0,1,0
2458365.6470255,-1.9280605762977534,2.116728923771496,ZTF_r,1,4341202,349,-1,26.2892,1,1,0
2458368.626331,1.7061860799527047,5.60026688635772,ZTF_r,1,4341202,349,-1,26.3288,1,1,0
2458368.7312963,3.892349320191366,3.5978158285368544,ZTF_g,1,4341201,74,-1,26.1967,0,1,0
2458371.6261921,6.280437735429721,3.0999386482985023,ZTF_r,1,4341202,349,-1,26.3553,1,1,0
2458371.7096528,-0.9126424274449441,2.793785316005406,ZTF_g,1,4341201,74,-1,26.2576,0,1,0
2458374.6261343,-2.5220528889555798,3.0041820410861457,ZTF_r,1,4341202,349,-1,26.3443,1,1,0
2458374.6900694,-3.5247885311660605,3.558683292408572,ZTF_g,1,4341201,74,-1,26.3201,0,1,0
2458508.0590856,10.180416782156362,11.990348555123127,ZTF_r,2,4341202,349,-1,26.1759,1,1,0
2458508.0642014,4.768388420880579,9.605370711191167,ZTF_r,2,4341202,349,-1,26.2121,1,1,0
2458508.0693056,-0.47926753429198105,10.656562436864823,ZTF_r,2,4341202,349,-1,26.2231,1,1,0
2458508.0744213,4.109620010848969,14.671158852625457,ZTF_r,2,4341202,349,-1,26.2353,1,1,0
2458509.0590625,-11.67694813972772,12.60693087088628,ZTF_r,2,4341202,349,-1,26.2131,1,1,1
2458509.0640856,-8.430271264704132,10.799189254571624,ZTF_r,2,4341202,349,-1,26.2227,1,1,0
2458509.0691551,7.8323454878053695,10.274960931123783,ZTF_r,2,4341202,349,-1,26.2224,1,1,0
2458509.0741898,-16.508023264310832,12.384000618107029,ZTF_r,2,4341202,349,-1,26.2362,1,1,0
2458512.0571991,5.148981577096336,7.788327821054402,ZTF_r,2,4341202,349,-1,26.0154,1,1,0
2458512.0621644,-0.006130998304197277,6.663324195565775,ZTF_r,2,4341202,349,-1,26.1629,1,1,0
2458512.0671181,13.163382892477882,8.734705940253367,ZTF_r,2,4341202,349,-1,26.1185,1,1,0
2458512.0720833,-3.8287705345676897,25.706315301162515,ZTF_r,2,4341202,349,-1,25.5029,1,1,1
2458513.0586574,-12.659352687774465,7.580983149768453,ZTF_r,2,4341202,349,-1,25.9459,1,1,1
2458513.0636806,0.2778061963817615,44.234356959936974,ZTF_r,2,4341202,349,-1,24.4556,1,1,1
2458513.0686921,-27.60322059812705,28.962689062453585,ZTF_r,2,4341202,349,-1,24.991,1,1,1
2458513.0737153,-11.066649500222635,7.02649758077815,ZTF_r,2,4341202,349,-1,26.1373,1,1,0
2458540.9806944,-5.385976840638206,7.082940510178907,ZTF_g,1,4341201,74,-1,26.1623,0,1,0
2458541.0434722,2.8523165121566922,5.443495854865309,ZTF_r,1,4341202,349,-1,26.2827,1,1,0
2458558.9608681,-1.9645390117364785,3.4587132596849974,ZTF_g,1,4341201,74,-1,26.1955,0,1,0
2458561.9189699,3.6937550181264647,12.794042484882658,ZTF_r,1,4341202,349,-1,26.1473,1,1,0
2458562.0026157,115.01804360208732,67.47694370580672,ZTF_g,1,4341201,74,-1,24.5782,0,1,1
2458574.9996644,8.442514615450682,14.889376947387776,ZTF_r,1,4341202,349,-1,24.8891,1,1,1
2458575.0034375,7.293511537803423,17.206714607714108,ZTF_g,1,4341201,74,-1,24.6231,0,1,1
2458581.9443519,0.13214416584561728,4.495006733113575,ZTF_r,1,4341202,349,-1,25.9844,1,1,0
2458581.9667824,5.213079452499842,4.417209168194908,ZTF_g,1,4341201,74,-1,25.9892,0,1,0
2458585.9213426,-3.102132850244809,3.5474091348746826,ZTF_r,1,4341202,349,-1,26.1906,1,1,0
2458588.9393171,0.7431488694698488,3.6280970744215884,ZTF_r,1,4341202,349,-1,26.2465,1,1,0
2458588.9799421,1.2633954046906135,3.472842043312731,ZTF_g,1,4341201,74,-1,26.0984,0,1,0
2458591.9601505,0.5701762060941734,7.365912624002686,ZTF_r,1,4341202,349,-1,26.2613,1,1,0
2458591.9814699,-13.170784765121901,10.63295455900553,ZTF_g,1,4341201,74,-1,26.1356,0,1,0
2458599.8611574,-1.5247087821868877,2.1743042378678865,ZTF_g,2,4341201,74,-1,27.1931,0,1,1
2458599.9773958,0.41346843312258896,1.9078443229246302,ZTF_r,2,4341202,349,-1,27.4789,1,1,1
2458606.8306944,-6.2831372290762175,3.777747236422432,ZTF_r,1,4341202,349,-1,26.1774,1,1,0
2458617.8563079,0.5428855140002496,4.4892945167563685,ZTF_r,1,4341202,349,-1,26.2085,1,1,0
2458628.8967245,-1.5216719346068173,3.186188806289325,ZTF_r,1,4341202,349,-1,26.2292,1,1,0
