#Date :
#Mag :
#Magerr :
#end :
@INSTRUMENT SDSS
@BAND r
@MAGSYS AB
58802.0766 22.121 0.955
58802.0865 22.245 0.948
58804.0850 20.587 0.514
58873.5690 22.732 1.119
58873.5741 22.107 0.928
58875.5571 22.248 1.007
58877.5586 20.997 0.370
58877.5635 22.275 1.058
58877.5684 21.723 0.787
58966.4775 22.703 0.671
58975.4307 18.944 0.074
58986.4507 18.090 0.020
58992.4190 18.366 0.028
58996.3122 18.551 0.031
59011.3178 19.241 0.050
59014.2577 19.670 0.085
59020.2761 19.953 0.079
59027.2728 20.226 0.145
59033.3172 21.123 0.582
59036.2897 20.441 0.231
59039.2705 21.104 0.250
59042.2451 21.182 0.192
59045.2124 21.019 0.178
59048.2436 21.245 0.206
59051.3544 21.270 0.316
59067.2892 22.232 0.800
59070.1910 22.073 0.401
59075.2302 21.129 0.260
59114.1697 21.246 0.509
59117.1073 22.337 0.996
59118.2267 20.926 0.472
59135.1273 23.056 1.183
59158.0893 21.708 0.735
59164.0938 22.224 1.172
59248.5506 21.891 0.707
59248.5536 21.560 0.552
59248.5567 22.383 0.946
59248.5597 21.711 0.545
59249.5491 21.723 0.767
59249.5551 22.541 1.047
59249.5580 22.570 1.095
59249.5610 22.691 1.186
59250.5474 22.130 0.862
59250.5504 22.225 0.894
59250.5534 21.232 0.448
59251.5513 22.427 1.112
59251.5601 22.591 1.160
59252.5464 23.222 1.080
59252.5523 22.840 0.848
59253.5501 22.647 0.946
59253.5560 22.435 0.793
59302.4625 22.142 1.003
