event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2016jhr,57482.0,24.96,0.16,,g,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57482.0,25.14,0.15,,g,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57482.35,25.14,,,g,HSC,Subaru,Transient Name Server
SN2016jhr,57483.0,23.16,0.04,,B,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57483.0,22.97,0.05,,V,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57483.0,23.08,0.05,,g,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57483.0,23.09,0.07,,g,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57483.0,23.09,0.05,,g,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57483.0,23.15,0.06,,g,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57483.0,22.91,0.05,,r,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57483.0,22.96,0.06,,r,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57483.0,22.99,0.05,,r,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57484.0,23.08,0.04,,B,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57484.0,22.63,0.05,,V,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57484.0,23.05,0.05,,g,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57484.0,22.64,0.05,,r,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57486.0,22.50,,,V,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57486.0,22.14,0.04,,r,HSC,Subaru,2017Natur.550...80J
SN2016jhr,57495.0,20.33,,,B,ARCTIC,ARC,2017Natur.550...80J
SN2016jhr,57495.0,20.06,,,V,ARCTIC,ARC,2017Natur.550...80J
SN2016jhr,57495.0,20.35,0.03,,g,ARCTIC,ARC,2017Natur.550...80J
SN2016jhr,57495.0,20.06,0.03,,r,ARCTIC,ARC,2017Natur.550...80J
SN2016jhr,57504.0,19.93,,,B,KWFC,Kiso,2017Natur.550...80J
SN2016jhr,57504.0,19.61,,,V,KWFC,Kiso,2017Natur.550...80J
SN2016jhr,57504.0,19.6,0.06,,r,KWFC,Kiso,2017Natur.550...80J
SN2016jhr,57506.0,19.98,,,B,WFC,INT,2017Natur.550...80J
SN2016jhr,57506.0,19.61,,,V,WFC,INT,2017Natur.550...80J
SN2016jhr,57506.0,19.95,0.02,,g,WFC,INT,2017Natur.550...80J
SN2016jhr,57506.0,19.84,0.01,,i,WFC,INT,2017Natur.550...80J
SN2016jhr,57506.0,19.64,0.01,,r,WFC,INT,2017Natur.550...80J
SN2016jhr,57513.0,20.24,,,B,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57513.0,20.29,,,B,IO:O,LT,2017Natur.550...80J
SN2016jhr,57513.0,19.76,,,V,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57513.0,19.79,,,V,IO:O,LT,2017Natur.550...80J
SN2016jhr,57513.0,20.32,0.03,,g,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57513.0,20.39,0.02,,g,IO:O,LT,2017Natur.550...80J
SN2016jhr,57513.0,20.01,0.02,,i,IO:O,LT,2017Natur.550...80J
SN2016jhr,57513.0,20.04,0.02,,i,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57513.0,19.73,0.01,,r,IO:O,LT,2017Natur.550...80J
SN2016jhr,57513.0,19.81,0.02,,r,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57519.0,20.77,,,B,IO:O,LT,2017Natur.550...80J
SN2016jhr,57519.0,20.11,,,V,IO:O,LT,2017Natur.550...80J
SN2016jhr,57519.0,20.89,0.03,,g,IO:O,LT,2017Natur.550...80J
SN2016jhr,57519.0,20.3,0.04,,i,IO:O,LT,2017Natur.550...80J
SN2016jhr,57519.0,20.04,0.03,,r,IO:O,LT,2017Natur.550...80J
SN2016jhr,57522.0,20.97,,,B,ARCTIC,ARC,2017Natur.550...80J
SN2016jhr,57522.0,20.22,,,V,ARCTIC,ARC,2017Natur.550...80J
SN2016jhr,57522.0,21.04,0.04,,g,ARCTIC,ARC,2017Natur.550...80J
SN2016jhr,57522.0,20.29,0.02,,i,ARCTIC,ARC,2017Natur.550...80J
SN2016jhr,57522.0,20.15,0.02,,r,ARCTIC,ARC,2017Natur.550...80J
SN2016jhr,57527.0,21.49,,,B,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57527.0,20.43,,,V,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57527.0,21.63,0.06,,g,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57527.0,20.32,0.04,,i,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57527.0,20.42,0.02,,r,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57533.0,21.93,,,B,GMOS,Gemini-N,2017Natur.550...80J
SN2016jhr,57533.0,20.62,,,V,GMOS,Gemini-N,2017Natur.550...80J
SN2016jhr,57533.0,22.01,0.02,,g,GMOS,Gemini-N,2017Natur.550...80J
SN2016jhr,57533.0,20.67,0.02,,r,GMOS,Gemini-N,2017Natur.550...80J
SN2016jhr,57536.0,22.17,,,B,IO:O,LT,2017Natur.550...80J
SN2016jhr,57536.0,20.78,,,V,IO:O,LT,2017Natur.550...80J
SN2016jhr,57536.0,22.41,0.08,,g,IO:O,LT,2017Natur.550...80J
SN2016jhr,57536.0,20.55,0.03,,i,IO:O,LT,2017Natur.550...80J
SN2016jhr,57536.0,20.8,0.03,,r,IO:O,LT,2017Natur.550...80J
SN2016jhr,57545.0,22.68,,,B,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57545.0,21.26,,,V,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57545.0,22.69,0.04,,g,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57545.0,20.98,0.05,,i,ALFOSC,NOT,2017Natur.550...80J
SN2016jhr,57545.0,21.21,0.04,,r,ALFOSC,NOT,2017Natur.550...80J
