SN        wiserep NIR
SN2002fk  1       0
SN2004bw  1       0
SN2003W   1       0
SN2002cr  1       0
SN2004bv  1       0
SN2001en  1       0
SN2001br  1       0
SN2004bl  1       0
SN2001dl  1       0
SN2002hw  1       0
SN2005am  1       0
SN2000dm  1       0
SN2003du  1       0
SN2001bf  1       0
SN2000do  0       0
SN2004da  1       0
SN2000dk  1       0
SN2002ha  1       0
SN2001bg  1       0
SN2002ef  1       0
SN2004ab  1       0
SN2004bk  1       0
SN2004E   1       0
SN2003cg  1       0
SN2001gc  1       0
SN2004ca  1       0
SN2004bv  1       0
SN2001fe  1       0
