"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","53660","2016-10-29 06:51:58.00","2457690.786088","","Other","Other","Unknown","","","Y","","","2016hnk_2016-10-29_06-51-58.975_Other_Other_None.dat","","Object","High","None","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Std-star","","","","","","","","","3961.22","6878.74","0.70676219619729","Galbany et al. 2019","2019arXiv190410034G","OSMOS spectroograph","Dr Lluís Galbany","2019-08-29 12:53:51"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","15117","2016-10-30 06:03:08.00","2457691.7521759","","SOAR","Goodman","Y.-C. Pan, A. S. Duarte","Y.-C. Pan","","Y","","","SN2016hnk_2016-10-30_06-03-08_SOAR_Goodman_None.flm","SN2016hnk_2016-10-30_06-03-08_SOAR_Goodman_None.fits","Object","","","Air","Angstrom","1","Other","","1200","0","","","","","","","3600","7100","1.967379720025","","","[TNS Source Group: ATLAS; Classifier/s: Yen-Chen Pan, Saurab...] [Prev. spec info - createdby: upload-TNS; modifiedby: upload-TNS]"," Migration From WISeREP1.0","2016-11-02 16:46:48"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","15118","2016-10-31 00:01:50.00","2457692.5012731","","SALT","RSS","A. Kniazev","S. W. Jha","","Y","","","SN2016hnk_2016-10-31_00-01-50_SALT_RSS_None.flm","SN2016hnk_2016-10-31_00-01-50_SALT_RSS_None.fits","Object","","","Air","Angstrom","1","Other","","2601","0","","","","","","","3495.2539","9397.9072265625","0.91896522557189","","","[TNS Source Group: ATLAS; Classifier/s: Yen-Chen Pan, Saurab...] [Prev. spec info - createdby: upload-TNS; modifiedby: upload-TNS]"," Migration From WISeREP1.0","2016-11-02 16:46:48"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","53661","2016-11-01 01:52:29.00","2457693.5781134","","NOT","ALFOSC","Unknown","","","Y","","","2016hnk_2016-11-01_01-52-29.692_NOT_ALFOSC_None.dat","","Object","High","None","Air","Angstrom","1e-16","erg cm(-2) sec(-1) Ang(-1)","Std-star","1800","","","","","","","","3399.41","9702.37","3.3086404199475","Galbany et al. 2019","2019arXiv190410034G","","Dr Lluís Galbany","2019-08-29 12:56:34"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","15096","2016-11-02 03:21:06.00","2457694.6396528","","ESO-NTT","EFOSC2-NTT","G. Dimitriadis, M. Pursiainen","M. Smith","PESSTO","Y","PESSTO","","2016hnk_2016-11-02_03-21-06_ESO-NTT_EFOSC2-NTT_PESSTO.asci","2016hnk_2016-11-02_03-21-06_ESO-NTT_EFOSC2-NTT_PESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","600","1","","1.099","","Gr13","Free","","3634.04785156","9229.22745228","5.4256813163958","","",""," Migration From WISeREP1.0","2016-11-02 16:46:48"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","53673","2016-11-02 03:21:06.00","2457694.6396528","","ESO-NTT","EFOSC2-NTT","Unknown","","PESSTO","Y","PESSTO","","2016hnk_2016-11-02_03-21-06.248_ESO-NTT_EFOSC2-NTT_PESSTO.dat","","Object","High","None","Air","Angstrom","1e-16","erg cm(-2) sec(-1) Ang(-1)","Std-star","600","","","","","","","","3634.64","9228.14","5.4240525968737","Galbany et al. 2019","2019arXiv190410034G","","Dr Lluís Galbany","2019-08-29 14:22:39"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","53662","2016-11-02 21:32:08.00","2457695.3973148","","LT","SPRAT","Unknown","","","Y","","","2016hnk_2016-11-02_21-32-08.720_LT_SPRAT_None.dat","","Object","High","None","Air","Angstrom","1e-16","erg cm(-2) sec(-1) Ang(-1)","Std-star","1500","","","","","","","","4020","7994.4","9.0342055972796","Galbany et al. 2019","2019arXiv190410034G","","Dr Lluís Galbany","2019-08-29 13:05:06"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","53666","2016-11-04 01:57:23.00","2457696.5815162","","Gemini-S","Flamingos-2","Unknown","","PESSTO","Y","PESSTO","","2016hnk_2016-11-04_01-57-23.700_Gemini-S_Flamingos-2_PESSTO.dat","","Object","High","None","Air","Angstrom","1e-16","erg cm(-2) sec(-1) Ang(-1)","Std-star","1800","","","","","","","","9855.08","17998.3","6.7505791211582","Galbany et al. 2019","2019arXiv190410034G","","Dr Lluís Galbany","2019-08-29 13:22:39"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","53667","2016-11-04 15:10:05.00","2457697.1320023","","Lijiang-2.4m","YFOSC","Unknown","","PESSTO","Y","PESSTO","","2016hnk_2016-11-04_15-10-05.940_Lijiang-2.4m_YFOSC_PESSTO.dat","","Object","High","None","Air","Angstrom","1e-16","erg cm(-2) sec(-1) Ang(-1)","Std-star","2100","","","","","","","","3497.86","9170.36","2.818359056708","Galbany et al. 2019","2019arXiv190410034G","","Dr Lluís Galbany","2019-08-29 13:22:39"
"4997","2016hnk","","33.3193","-7.6613","SN Ia-Ca-rich","0.016","53674","2016-11-05 01:59:35.00","2457697.583044","","ESO-NTT","EFOSC2-NTT","Unknown","","PESSTO","Y","PESSTO","","2016hnk_2016-11-05_01-59-35.148_ESO-NTT_EFOSC2-NTT_PESSTO.dat","","Object","High","None","Air","Angstrom","1e-16","erg cm(-2) sec(-1) Ang(-1)","Std-star","1800","","","","","","","","3339.87","9979.25","4.0690055010247","Galbany et al. 2019","2019arXiv190410034G","","Dr Lluís Galbany","2019-08-29 14:22:39"
